Formuláø DN,Polo¾ka,Popis,Bli¾¹í definice
,1,dobrý,¾ádné nepøíznivé okolnosti nebyly zji¹tìny
,2,"unaven, usnul, náhlá fyzická indispozice",
,3,pod vlivem,"lékù, narkotik"
,4,pod vlivem,"alkoholu, obsah alkoholu v krvi do 0,99 ?"
,5,pod vlivem,"alkoholu, obsah alkoholu v krvi 1 ? a více"
,6,"nemoc, úraz apod. ",
,7,invalida,
,8,øidiè pøi jízdì zemøel (infarkt apod.),
,9,"pokus o sebevra¾du, sebevra¾da",
,0,jiný nepøíznivý stav,
58,p58,VNÌJ©Í OVLIVNÌNÍ ØIDIÈE,
,1,øidiè nebyl ovlivnìn,
,2,oslnìn sluncem,
,3,oslnìn svìtlomety jiného vozidla,
,4,ovlivnìn jednáním jiného úèastníka silnièního provozu,
,5,"ovlivnìn pøi vyhýbání lesní zvìøí, domácímu zvíøectvu apod. ",
,0,jiné ovlivnìní,
,,,
GPS,d,souøadnice X ,
,e,souøadnice Y ,
